"x"
"222"	"ENSMUSG00000018554.7"
"223"	"ENSMUSG00000018654.11"
"224"	"ENSMUSG00000018707.7"
"225"	"ENSMUSG00000018727.13"
"226"	"ENSMUSG00000018796.6"
"227"	"ENSMUSG00000018830.8"
"228"	"ENSMUSG00000018865.8"
"229"	"ENSMUSG00000018906.8"
"230"	"ENSMUSG00000019139.9"
"231"	"ENSMUSG00000019230.8"
"232"	"ENSMUSG00000019232.8"
"233"	"ENSMUSG00000019320.7"
"234"	"ENSMUSG00000019326.8"
"235"	"ENSMUSG00000019577.4"
"236"	"ENSMUSG00000019737.8"
"237"	"ENSMUSG00000019761.9"
"238"	"ENSMUSG00000019768.10"
"239"	"ENSMUSG00000019787.8"
"240"	"ENSMUSG00000019820.9"
"241"	"ENSMUSG00000019846.5"
"242"	"ENSMUSG00000019851.7"
"243"	"ENSMUSG00000019852.6"
"244"	"ENSMUSG00000019866.9"
"245"	"ENSMUSG00000019874.5"
"246"	"ENSMUSG00000019880.9"
"247"	"ENSMUSG00000019899.9"
"248"	"ENSMUSG00000019913.3"
"249"	"ENSMUSG00000019929.9"
"250"	"ENSMUSG00000019970.9"
"251"	"ENSMUSG00000019984.10"
"252"	"ENSMUSG00000019987.8"
"253"	"ENSMUSG00000019989.7"
"254"	"ENSMUSG00000019996.10"
"255"	"ENSMUSG00000020022.10"
"256"	"ENSMUSG00000020067.7"
"257"	"ENSMUSG00000020074.6"
"258"	"ENSMUSG00000020080.8"
"259"	"ENSMUSG00000020086.6"
"260"	"ENSMUSG00000020105.8"
"261"	"ENSMUSG00000020140.9"
"262"	"ENSMUSG00000020154.9"
"263"	"ENSMUSG00000020159.2"
"264"	"ENSMUSG00000020163.6"
"265"	"ENSMUSG00000020175.7"
"266"	"ENSMUSG00000020186.6"
"267"	"ENSMUSG00000020241.7"
"268"	"ENSMUSG00000020264.5"
"269"	"ENSMUSG00000020267.6"
"270"	"ENSMUSG00000020277.9"
"271"	"ENSMUSG00000020310.8"
"272"	"ENSMUSG00000020312.5"
"273"	"ENSMUSG00000020321.9"
"274"	"ENSMUSG00000020326.7"
"275"	"ENSMUSG00000020340.10"
"276"	"ENSMUSG00000020354.9"
"277"	"ENSMUSG00000020357.3"
"278"	"ENSMUSG00000020363.6"
"279"	"ENSMUSG00000020411.2"
"280"	"ENSMUSG00000020431.5"
"281"	"ENSMUSG00000020456.11"
"282"	"ENSMUSG00000020460.9"
"283"	"ENSMUSG00000020467.9"
"284"	"ENSMUSG00000020469.8"
"285"	"ENSMUSG00000020473.7"
"286"	"ENSMUSG00000020475.3"
"287"	"ENSMUSG00000020492.5"
"288"	"ENSMUSG00000020542.12"
"289"	"ENSMUSG00000020629.6"
"290"	"ENSMUSG00000020650.8"
"291"	"ENSMUSG00000020656.9"
"292"	"ENSMUSG00000020674.10"
"293"	"ENSMUSG00000020684.8"
"294"	"ENSMUSG00000020695.8"
"295"	"ENSMUSG00000020721.10"
"296"	"ENSMUSG00000020803.3"
"297"	"ENSMUSG00000020805.7"
"298"	"ENSMUSG00000020836.9"
"299"	"ENSMUSG00000020841.5"
"300"	"ENSMUSG00000020847.9"
"301"	"ENSMUSG00000020850.8"
"302"	"ENSMUSG00000020875.8"
"303"	"ENSMUSG00000020897.6"
"304"	"ENSMUSG00000020902.6"
"305"	"ENSMUSG00000020908.8"
"306"	"ENSMUSG00000020911.8"
"307"	"ENSMUSG00000020949.8"
"308"	"ENSMUSG00000021027.9"
"309"	"ENSMUSG00000021032.7"
"310"	"ENSMUSG00000021054.5"
"311"	"ENSMUSG00000021070.5"
"312"	"ENSMUSG00000021091.8"
"313"	"ENSMUSG00000021095.4"
"314"	"ENSMUSG00000021097.8"
"315"	"ENSMUSG00000021114.8"
"316"	"ENSMUSG00000021116.9"
"317"	"ENSMUSG00000021123.6"
"318"	"ENSMUSG00000021130.7"
"319"	"ENSMUSG00000021135.7"
"320"	"ENSMUSG00000021194.5"
"321"	"ENSMUSG00000021200.8"
"322"	"ENSMUSG00000021210.9"
"323"	"ENSMUSG00000021213.5"
"324"	"ENSMUSG00000021253.6"
"325"	"ENSMUSG00000021290.5"
"326"	"ENSMUSG00000021313.9"
"327"	"ENSMUSG00000021319.6"
"328"	"ENSMUSG00000021373.9"
"329"	"ENSMUSG00000021379.1"
"330"	"ENSMUSG00000021381.4"
"331"	"ENSMUSG00000021390.5"
"332"	"ENSMUSG00000021396.4"
"333"	"ENSMUSG00000021464.8"
"334"	"ENSMUSG00000021469.8"
"335"	"ENSMUSG00000021495.8"
"336"	"ENSMUSG00000021506.7"
"337"	"ENSMUSG00000021508.10"
"338"	"ENSMUSG00000021537.8"
"339"	"ENSMUSG00000021567.8"
"340"	"ENSMUSG00000021606.7"
"341"	"ENSMUSG00000021611.8"
"342"	"ENSMUSG00000021614.10"
"343"	"ENSMUSG00000021619.5"
"344"	"ENSMUSG00000021643.8"
"345"	"ENSMUSG00000021670.8"
"346"	"ENSMUSG00000021702.7"
"347"	"ENSMUSG00000021703.8"
"348"	"ENSMUSG00000021704.7"
"349"	"ENSMUSG00000021732.8"
"350"	"ENSMUSG00000021760.3"
"351"	"ENSMUSG00000021764.6"
"352"	"ENSMUSG00000021765.7"
"353"	"ENSMUSG00000021779.10"
"354"	"ENSMUSG00000021798.7"
"355"	"ENSMUSG00000021850.7"
"356"	"ENSMUSG00000021876.8"
"357"	"ENSMUSG00000021908.9"
"358"	"ENSMUSG00000021943.6"
"359"	"ENSMUSG00000021944.9"
"360"	"ENSMUSG00000021950.9"
"361"	"ENSMUSG00000021951.5"
"362"	"ENSMUSG00000021952.9"
"363"	"ENSMUSG00000021994.8"
"364"	"ENSMUSG00000022013.3"
"365"	"ENSMUSG00000022024.9"
"366"	"ENSMUSG00000022057.7"
"367"	"ENSMUSG00000022122.8"
"368"	"ENSMUSG00000022123.8"
"369"	"ENSMUSG00000022132.9"
"370"	"ENSMUSG00000022141.6"
"371"	"ENSMUSG00000022142.7"
"372"	"ENSMUSG00000022149.11"
"373"	"ENSMUSG00000022157.7"
"374"	"ENSMUSG00000022197.9"
"375"	"ENSMUSG00000022199.10"
"376"	"ENSMUSG00000022203.6"
"377"	"ENSMUSG00000022218.9"
"378"	"ENSMUSG00000022225.6"
"379"	"ENSMUSG00000022231.9"
"380"	"ENSMUSG00000022297.8"
"381"	"ENSMUSG00000022324.8"
"382"	"ENSMUSG00000022330.4"
"383"	"ENSMUSG00000022336.2"
"384"	"ENSMUSG00000022337.6"
"385"	"ENSMUSG00000022342.5"
"386"	"ENSMUSG00000022354.3"
"387"	"ENSMUSG00000022358.6"
"388"	"ENSMUSG00000022367.7"
"389"	"ENSMUSG00000022371.9"
"390"	"ENSMUSG00000022419.9"
"391"	"ENSMUSG00000022425.9"
"392"	"ENSMUSG00000022443.10"
